Product Name,Current Price,Original Price,Percent Badge,Amount Info,Image,Original Link,Affiliate Link,Scraping Time
Dây buộc tóc dây rút bốn lớp đẹp có thể điều chỉnh Dây buộc tóc Scrunchies Phụ kiện tóc,1.080 ₫,32.398 ₫,-97%%,Số lượng: 5,https://cf.shopee.vn/file/sg-11134201-7rate-mabd9v6eiiapec,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
Tăm bông trẻ em thân nhựa Merigo cho bé,1.000 ₫,23.000 ₫,-96%%,Số lượng: 28,https://cf.shopee.vn/file/vn-11134207-7ras8-m2rmo1i5d0hm25,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
Đầu Vòi Lọc Nuớc Tăng Áp 360 Độ Có Thể Kéo Dài Rửa Chén Bát Có Khóa Cổ Dê Cánh Quạt Tiện Lợi RIEM,1.000 ₫,25.000 ₫,-96%%,Số lượng: 28,https://cf.shopee.vn/file/vn-11134207-7ras8-m37jw93lwsfg89,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
"Cuộn 50 túi đựng rác hương Lavender xua đuổi muỗi, côn trùng siêu dai. Cuộn rác có dây rút",1.000 ₫,26.000 ₫,-96%%,Số lượng: 26,https://cf.shopee.vn/file/vn-11134207-7ras8-m4nhk4o8isgw01,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
"Combo 10 Bút Bi Gel Mực Nước 0.5mm Mực Xanh, Đỏ, Đen",1.000 ₫,25.000 ₫,-96%%,Số lượng: 34,https://cf.shopee.vn/file/vn-11134207-7ra0g-maijxa3fxea4b9,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
"Túi 5 Cây dao cạo râu dùng 1 lần  – Lưỡi Sắc, Cạo Êm, Không Rát Da – Tay Cầm Chống Trượt",1.000 ₫,25.000 ₫,-96%%,Số lượng: 28,https://cf.shopee.vn/file/vn-11134207-820l4-mhjv6mfd4qh29f,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
Đá cắt Bosch chất lượng chuẩn Đức,1.000 ₫,19.550 ₫,-95%%,Số lượng: 28,https://cf.shopee.vn/file/sg-11134201-8262b-mmawfgv4yzgo61,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
"Turban công chúa cho bé [0-1,5 tuổi] mã5",1.000 ₫,19.000 ₫,-95%%,Số lượng: 30,https://cf.shopee.vn/file/vn-11134207-7r98o-m0b4inn2v0r3b3,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
Găng Tay Chống Nắng DIDOOGLT Cho Nam Nữ Lái Xe - Bao Tay Chống Tia UV Mềm Mịn Thoáng Mát,1.000 ₫,20.000 ₫,-95%%,Số lượng: 28,https://cf.shopee.vn/file/vn-11134207-7ras8-m4tthk2ja9dvae,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
"Cọ Vệ Sinh Đa Năng 3 in 1, Dụng Cụ Vệ Sinh Cốc, Bình Sữa, Bình Nước, Bài Chải Cọ Khe Hở Xoay 360",1.000 ₫,18.500 ₫,-95%%,Số lượng: 28,https://cf.shopee.vn/file/vn-11134207-7r98o-lzxedrcgtxzh35,No Link,No Link,28-03 | Khung: 15:00 | Đang diễn ra
